category,image_file,rel_path,patient,slice,dice,layer,channel,MAD,MSE,SSIM
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit0.adn.N,4,0.0177,0.0562,0.9881
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit0.adn.N,5,0.0192,0.0639,0.9912
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit0.adn.N,6,0.0194,0.0513,0.9909
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit1.adn.N,0,0.0185,0.0306,0.9918
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit1.adn.N,2,0.0279,0.0733,0.9888
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit1.adn.N,5,0.0254,0.0656,0.9907
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit2.adn.N,0,0.0234,0.0436,0.989
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit2.adn.N,1,0.0234,0.047,0.9906
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit2.adn.N,5,0.0242,0.0562,0.9907
RV→MYO_Misclassification,patient001_frame01_slice7_dice0.0758.png,patient001_frame01_slice7_dice0.0758.png,patient001_frame01,7,0.0758,0.conv.unit3.adn.N,0,0.0225,0.0262,0.9914
