Top 3 MAD and MSE per patient, per slice, grouped by layer:

=== Layer: 0.conv.unit0.adn.N ===

Patient: patient001_frame01
-- Slice 1 --
   MAD → Ch 02 → MAD=0.1039, MSE=0.1317, SSIM=0.9631
   MAD → Ch 03 → MAD=0.0954, MSE=0.1135, SSIM=0.9657
   MAD → Ch 04 → MAD=0.0699, MSE=0.1032, SSIM=0.9710
   MSE → Ch 02 → MAD=0.1039, MSE=0.1317, SSIM=0.9631
   MSE → Ch 03 → MAD=0.0954, MSE=0.1135, SSIM=0.9657
   MSE → Ch 04 → MAD=0.0699, MSE=0.1032, SSIM=0.9710
-- Slice 2 --
   MAD → Ch 02 → MAD=0.0955, MSE=0.1303, SSIM=0.9649
   MAD → Ch 03 → MAD=0.0887, MSE=0.1150, SSIM=0.9690
   MAD → Ch 04 → MAD=0.0665, MSE=0.0932, SSIM=0.9748
   MSE → Ch 02 → MAD=0.0955, MSE=0.1303, SSIM=0.9649
   MSE → Ch 03 → MAD=0.0887, MSE=0.1150, SSIM=0.9690
   MSE → Ch 04 → MAD=0.0665, MSE=0.0932, SSIM=0.9748
-- Slice 3 --
   MAD → Ch 02 → MAD=0.0733, MSE=0.0980, SSIM=0.9684
   MAD → Ch 03 → MAD=0.0683, MSE=0.0876, SSIM=0.9718
   MAD → Ch 04 → MAD=0.0508, MSE=0.0754, SSIM=0.9732
   MSE → Ch 02 → MAD=0.0733, MSE=0.0980, SSIM=0.9684
   MSE → Ch 03 → MAD=0.0683, MSE=0.0876, SSIM=0.9718
   MSE → Ch 04 → MAD=0.0508, MSE=0.0754, SSIM=0.9732
-- Slice 4 --
   MAD → Ch 02 → MAD=0.0487, MSE=0.0618, SSIM=0.9782
   MAD → Ch 03 → MAD=0.0468, MSE=0.0615, SSIM=0.9788
   MAD → Ch 04 → MAD=0.0379, MSE=0.0557, SSIM=0.9811
   MSE → Ch 02 → MAD=0.0487, MSE=0.0618, SSIM=0.9782
   MSE → Ch 03 → MAD=0.0468, MSE=0.0615, SSIM=0.9788
   MSE → Ch 04 → MAD=0.0379, MSE=0.0557, SSIM=0.9811
-- Slice 5 --
   MAD → Ch 02 → MAD=0.0359, MSE=0.0487, SSIM=0.9828
   MAD → Ch 03 → MAD=0.0347, MSE=0.0521, SSIM=0.9829
   MAD → Ch 04 → MAD=0.0311, MSE=0.0639, SSIM=0.9836
   MSE → Ch 06 → MAD=0.0261, MSE=0.0653, SSIM=0.9828
   MSE → Ch 01 → MAD=0.0211, MSE=0.0651, SSIM=0.9834
   MSE → Ch 05 → MAD=0.0242, MSE=0.0646, SSIM=0.9871
-- Slice 6 --
   MAD → Ch 03 → MAD=0.0267, MSE=0.0426, SSIM=0.9869
   MAD → Ch 04 → MAD=0.0262, MSE=0.0612, SSIM=0.9680
   MAD → Ch 02 → MAD=0.0261, MSE=0.0356, SSIM=0.9868
   MSE → Ch 06 → MAD=0.0256, MSE=0.0688, SSIM=0.9855
   MSE → Ch 00 → MAD=0.0193, MSE=0.0671, SSIM=0.9868
   MSE → Ch 01 → MAD=0.0232, MSE=0.0632, SSIM=0.9818
-- Slice 7 --
   MAD → Ch 06 → MAD=0.0194, MSE=0.0513, SSIM=0.9909
   MAD → Ch 05 → MAD=0.0192, MSE=0.0639, SSIM=0.9912
   MAD → Ch 04 → MAD=0.0177, MSE=0.0562, SSIM=0.9881
   MSE → Ch 05 → MAD=0.0192, MSE=0.0639, SSIM=0.9912
   MSE → Ch 04 → MAD=0.0177, MSE=0.0562, SSIM=0.9881
   MSE → Ch 06 → MAD=0.0194, MSE=0.0513, SSIM=0.9909
-- Slice 8 --
   MAD → Ch 05 → MAD=0.0094, MSE=0.0321, SSIM=0.9949
   MAD → Ch 06 → MAD=0.0086, MSE=0.0217, SSIM=0.9949
   MAD → Ch 04 → MAD=0.0086, MSE=0.0196, SSIM=0.9943
   MSE → Ch 05 → MAD=0.0094, MSE=0.0321, SSIM=0.9949
   MSE → Ch 07 → MAD=0.0063, MSE=0.0217, SSIM=0.9951
   MSE → Ch 06 → MAD=0.0086, MSE=0.0217, SSIM=0.9949
-- Slice 9 --
   MAD → Ch 00 → MAD=0.0063, MSE=0.0224, SSIM=0.9952
   MAD → Ch 06 → MAD=0.0051, MSE=0.0131, SSIM=0.9964
   MAD → Ch 05 → MAD=0.0048, MSE=0.0115, SSIM=0.9972
   MSE → Ch 00 → MAD=0.0063, MSE=0.0224, SSIM=0.9952
   MSE → Ch 06 → MAD=0.0051, MSE=0.0131, SSIM=0.9964
   MSE → Ch 05 → MAD=0.0048, MSE=0.0115, SSIM=0.9972

Patient: patient001_frame12
-- Slice 2 --
   MAD → Ch 02 → MAD=0.0650, MSE=0.0896, SSIM=0.9702
   MAD → Ch 03 → MAD=0.0614, MSE=0.0847, SSIM=0.9715
   MAD → Ch 04 → MAD=0.0439, MSE=0.0735, SSIM=0.9787
   MSE → Ch 02 → MAD=0.0650, MSE=0.0896, SSIM=0.9702
   MSE → Ch 03 → MAD=0.0614, MSE=0.0847, SSIM=0.9715
   MSE → Ch 00 → MAD=0.0226, MSE=0.0804, SSIM=0.9771
-- Slice 3 --
   MAD → Ch 02 → MAD=0.0564, MSE=0.0823, SSIM=0.9732
   MAD → Ch 03 → MAD=0.0536, MSE=0.0801, SSIM=0.9749
   MAD → Ch 04 → MAD=0.0390, MSE=0.0691, SSIM=0.9783
   MSE → Ch 02 → MAD=0.0564, MSE=0.0823, SSIM=0.9732
   MSE → Ch 03 → MAD=0.0536, MSE=0.0801, SSIM=0.9749
   MSE → Ch 06 → MAD=0.0308, MSE=0.0752, SSIM=0.9779
-- Slice 4 --
   MAD → Ch 02 → MAD=0.0352, MSE=0.0474, SSIM=0.9825
   MAD → Ch 03 → MAD=0.0341, MSE=0.0522, SSIM=0.9820
   MAD → Ch 06 → MAD=0.0244, MSE=0.0632, SSIM=0.9829
   MSE → Ch 00 → MAD=0.0207, MSE=0.0799, SSIM=0.9840
   MSE → Ch 06 → MAD=0.0244, MSE=0.0632, SSIM=0.9829
   MSE → Ch 07 → MAD=0.0203, MSE=0.0592, SSIM=0.9862
-- Slice 5 --
   MAD → Ch 03 → MAD=0.0158, MSE=0.0227, SSIM=0.9907
   MAD → Ch 02 → MAD=0.0154, MSE=0.0166, SSIM=0.9913
   MAD → Ch 04 → MAD=0.0153, MSE=0.0357, SSIM=0.9921
   MSE → Ch 01 → MAD=0.0142, MSE=0.0456, SSIM=0.9904
   MSE → Ch 06 → MAD=0.0151, MSE=0.0422, SSIM=0.9906
   MSE → Ch 00 → MAD=0.0122, MSE=0.0404, SSIM=0.9916
-- Slice 6 --
   MAD → Ch 06 → MAD=0.0125, MSE=0.0431, SSIM=0.9924
   MAD → Ch 04 → MAD=0.0111, MSE=0.0287, SSIM=0.9934
   MAD → Ch 03 → MAD=0.0111, MSE=0.0207, SSIM=0.9932
   MSE → Ch 06 → MAD=0.0125, MSE=0.0431, SSIM=0.9924
   MSE → Ch 00 → MAD=0.0097, MSE=0.0413, SSIM=0.9926
   MSE → Ch 05 → MAD=0.0091, MSE=0.0342, SSIM=0.9941
-- Slice 7 --
   MAD → Ch 06 → MAD=0.0063, MSE=0.0146, SSIM=0.9967
   MAD → Ch 05 → MAD=0.0059, MSE=0.0122, SSIM=0.9975
   MAD → Ch 01 → MAD=0.0053, MSE=0.0124, SSIM=0.9964
   MSE → Ch 06 → MAD=0.0063, MSE=0.0146, SSIM=0.9967
   MSE → Ch 04 → MAD=0.0052, MSE=0.0138, SSIM=0.9959
   MSE → Ch 01 → MAD=0.0053, MSE=0.0124, SSIM=0.9964

Patient: patient002_frame01
-- Slice 0 --
   MAD → Ch 02 → MAD=0.0823, MSE=0.0811, SSIM=0.9626
   MAD → Ch 03 → MAD=0.0763, MSE=0.0783, SSIM=0.9620
   MAD → Ch 04 → MAD=0.0614, MSE=0.0704, SSIM=0.9675
   MSE → Ch 02 → MAD=0.0823, MSE=0.0811, SSIM=0.9626
   MSE → Ch 03 → MAD=0.0763, MSE=0.0783, SSIM=0.9620
   MSE → Ch 05 → MAD=0.0284, MSE=0.0757, SSIM=0.9696
-- Slice 1 --
   MAD → Ch 02 → MAD=0.0745, MSE=0.0790, SSIM=0.9631
   MAD → Ch 03 → MAD=0.0690, MSE=0.0736, SSIM=0.9643
   MAD → Ch 04 → MAD=0.0523, MSE=0.0586, SSIM=0.9715
   MSE → Ch 05 → MAD=0.0306, MSE=0.0823, SSIM=0.9748
   MSE → Ch 02 → MAD=0.0745, MSE=0.0790, SSIM=0.9631
   MSE → Ch 03 → MAD=0.0690, MSE=0.0736, SSIM=0.9643
-- Slice 2 --
   MAD → Ch 02 → MAD=0.0546, MSE=0.0562, SSIM=0.9687
   MAD → Ch 03 → MAD=0.0523, MSE=0.0568, SSIM=0.9684
   MAD → Ch 04 → MAD=0.0430, MSE=0.0608, SSIM=0.9710
   MSE → Ch 05 → MAD=0.0244, MSE=0.0656, SSIM=0.9763
   MSE → Ch 04 → MAD=0.0430, MSE=0.0608, SSIM=0.9710
   MSE → Ch 03 → MAD=0.0523, MSE=0.0568, SSIM=0.9684
-- Slice 3 --
   MAD → Ch 02 → MAD=0.0319, MSE=0.0304, SSIM=0.9769
   MAD → Ch 03 → MAD=0.0313, MSE=0.0335, SSIM=0.9776
